代码,年化收益%,夏普比率,最大回撤%
159538,0.22,-5.0,0.3
159757,-0.02,-5.0,0.68
159563,0.39,-5.01,0.43
561780,0.23,-5.01,0.21
159965,0.1,-5.01,0.51
512570,0.03,-5.01,0.55
501036,0.05,-5.02,0.68
159780,0.01,-5.02,0.51
515950,-0.12,-5.02,1.35
159886,-0.09,-5.03,0.86
159539,0.23,-5.04,0.3
159692,0.1,-5.05,0.4
513110,0.35,-5.06,0.48
159779,0.07,-5.06,0.37
510010,0.06,-5.07,0.74
512900,0.04,-5.08,0.6
561910,-0.06,-5.08,0.75
159622,0.08,-5.09,0.37
515630,0.01,-5.09,0.57
159658,0.15,-5.11,0.59
513560,0.14,-5.12,0.4
512700,0.1,-5.12,0.37
513550,0.02,-5.12,0.45
159537,0.22,-5.13,0.29
159678,0.15,-5.13,0.2
501025,0.08,-5.14,0.51
512730,0.14,-5.16,0.3
561100,0.12,-5.16,0.32
512650,0.04,-5.16,0.6
501205,-0.03,-5.19,0.66
159938,-0.05,-5.2,0.7
562950,0.13,-5.21,0.28
159680,0.12,-5.21,0.34
501200,-0.14,-5.21,0.95
562880,-0.02,-5.22,0.66
513030,0.08,-5.24,0.46
588160,-0.05,-5.25,0.65
159688,0.04,-5.26,0.39
562820,0.65,-5.27,0.48
561590,0.09,-5.27,0.38
588010,-0.03,-5.29,0.62
563030,0.11,-5.3,0.28
159766,-0.04,-5.3,0.61
515020,0.13,-5.31,0.31
159541,0.26,-5.32,0.38
517850,-0.02,-5.32,0.59
159150,0.32,-5.33,0.3
512880,0.03,-5.33,0.61
159716,0.01,-5.33,0.47
560880,0.12,-5.34,0.28
517660,0.05,-5.34,0.39
159967,0.05,-5.36,0.53
512980,-0.01,-5.36,0.62
159866,0.08,-5.37,0.34
515770,0.03,-5.38,0.6
502048,0.03,-5.38,0.52
159875,-0.1,-5.38,0.74
159535,0.18,-5.39,0.27
159974,0.14,-5.39,0.37
513320,0.05,-5.39,0.43
159842,0.03,-5.39,0.43
159872,-0.02,-5.39,0.56
159752,-0.1,-5.39,0.83
159718,0.01,-5.41,0.49
159855,-0.04,-5.41,0.68
513870,0.3,-5.43,0.38
159920,0.05,-5.44,0.77
560280,0.29,-5.45,0.25
159519,0.16,-5.47,0.24
515980,0.05,-5.47,0.38
516270,-0.1,-5.47,0.83
159889,-0.02,-5.49,0.58
159502,0.17,-5.5,0.38
516320,-0.05,-5.5,0.67
510270,0.05,-5.51,0.79
159909,0.06,-5.52,0.65
516580,-0.11,-5.52,0.85
513950,0.19,-5.53,0.15
588180,-0.02,-5.55,0.57
513080,0.15,-5.56,0.35
517180,0.13,-5.57,0.27
512390,0.1,-5.57,0.4
560500,0.02,-5.58,0.4
560980,-0.07,-5.58,0.53
508033,-0.26,-5.58,0.46
159599,0.63,-5.61,0.43
512260,0.09,-5.63,0.46
561370,0.2,-5.64,0.23
159679,0.07,-5.64,0.36
159907,0.04,-5.65,0.78
159531,0.2,-5.67,0.23
502053,0.03,-5.67,0.57
501206,-0.04,-5.67,0.64
512820,0.1,-5.68,0.37
159701,0.05,-5.69,0.38
159310,0.64,-5.7,0.42
159350,0.3,-5.7,0.34
513530,0.19,-5.71,0.24
159639,0.01,-5.71,0.36
560690,0.59,-5.72,0.32
513850,0.29,-5.72,0.37
159788,0.12,-5.72,0.3
159536,0.2,-5.73,0.24
159543,0.2,-5.73,0.22
562510,-0.08,-5.73,0.59
515290,0.09,-5.76,0.23
561550,0.05,-5.77,0.34
159725,0.01,-5.78,0.54
501011,0.01,-5.78,0.5
516980,0.01,-5.79,0.43
159770,-0.02,-5.79,0.53
501219,0.18,-5.8,0.3
515990,0.09,-5.8,0.46
516110,0.05,-5.8,0.52
562990,0.02,-5.8,0.34
561190,0.03,-5.81,0.33
515560,-0.01,-5.81,0.5
159991,0.04,-5.82,0.45
159892,-0.02,-5.82,0.47
563000,0.01,-5.83,0.39
516210,0.1,-5.85,0.23
159820,0.04,-5.85,0.56
512720,0.02,-5.86,0.98
159887,0.08,-5.88,0.24
512600,0.04,-5.88,0.65
159723,0.03,-5.89,0.39
159567,0.18,-5.9,0.25
159641,0.04,-5.9,0.3
